Date,Movement,Actuator,Expected Value,Mean,Median,Standard Deviation
2023-09-23,movement_6,actuator_2,293.3585205078125,293.2941965403074,293.29400634765625,0.001115224227158845
2023-09-23,movement_7,actuator_2,344,343.95662067159304,343.9866943359375,1.3235528539493788
2023-09-23,movement_1,actuator_3,91.1580810546875,91.35111388135503,91.36016845703124,0.38377286888059575
2023-09-23,movement_2,actuator_3,85.48641967773438,85.5726367542713,85.57290649414062,0.0012004865881653306
2023-09-23,movement_3,actuator_3,91.1580810546875,91.3237910940451,91.32266235351562,0.008922151127454571
2023-09-23,movement_4,actuator_3,36.652435302734375,36.68262149958085,36.68634033203125,0.01238734185992485
2023-09-23,movement_5,actuator_3,38.8013916015625,38.940288951427625,38.9403076171875,0.0011685971652887644
2023-09-23,movement_6,actuator_3,36.652435302734375,36.74929615740144,36.74896240234375,0.0029675904032678284
2023-09-23,movement_7,actuator_3,75,75.22723407457178,75.24728393554688,0.8589944806634596
2023-09-23,movement_1,actuator_4,345.40728759765625,345.26041769701203,345.251953125,0.3468734416068975
2023-09-23,movement_2,actuator_4,350.34735107421875,350.2912409120121,350.2911682128906,0.0018204366689709185
2023-09-23,movement_3,actuator_4,345.40728759765625,345.26794717081043,345.26763916015625,0.002394543398850205
2023-09-23,movement_4,actuator_4,270.0581359863281,269.9750155132445,269.974853515625,0.0024140567566988936
2023-09-23,movement_5,actuator_4,270.02423095703125,270.0959446356826,270.0960693359375,0.0032187521189533854
2023-09-23,movement_6,actuator_4,270.0581359863281,270.1181659922629,270.1178894042969,0.001371278727320534
2023-09-23,movement_7,actuator_4,0,0.383534811966634,0.03094482421875,10.638038664601167
2023-09-23,movement_1,actuator_5,300.799072265625,300.8323432055678,300.8330078125,0.019712171124104356
2023-09-23,movement_2,actuator_5,314.64813232421875,314.80172637273427,314.8013610839844,0.00529741815517786
2023-09-23,movement_3,actuator_5,300.799072265625,300.6426855769315,300.6420288085937,0.002690152889124545
2023-09-23,movement_4,actuator_5,283.05670166015625,282.9987698017584,282.99908447265625,0.0027579185263968244
2023-09-23,movement_5,actuator_5,290.4320068359375,290.5824804748979,290.5828857421875,0.0044453308185804265
2023-09-23,movement_6,actuator_5,283.05670166015625,282.9022927222868,282.9032897949219,0.008242969572598617
2023-09-23,movement_7,actuator_5,300,300.1249226387079,300.13067626953125,0.22925834592430042
2023-09-23,movement_1,actuator_6,352.2476806640625,352.0411679823437,352.23858642578125,8.329742317341987
2023-09-23,movement_2,actuator_6,350.21044921875,350.26693394281506,350.26678466796875,0.002149076238639875
2023-09-23,movement_3,actuator_6,352.2476806640625,352.27793890254486,352.27801513671875,0.0007522324365646187
2023-09-23,movement_4,actuator_6,97.69122314453125,98.13285131726641,98.13372802734376,0.003979115776443787
2023-09-23,movement_5,actuator_6,97.71112060546875,97.72344354203645,97.72341918945312,0.002479224038714362
2023-09-23,movement_6,actuator_6,97.69122314453125,97.71972526460635,97.71981811523438,0.0006726247737132595
2023-09-23,movement_7,actuator_6,0,359.28259611209813,359.6297607421875,10.518165853544872
2023-09-30,movement_1,actuator_1,22.690292358398438,22.808002173076577,22.820831298828125,0.5328983551591165
2023-09-30,movement_2,actuator_1,36.26722717285156,36.41182036333919,36.43403625488281,0.7660013517093119
2023-09-30,movement_3,actuator_1,22.690292358398438,22.572508482339746,22.57383728027344,0.0073077685826642425
2023-09-30,movement_4,actuator_1,7.6923065185546875,7.547774635701685,7.547943115234375,0.001382562802653879
2023-09-30,movement_5,actuator_1,7.6994171142578125,7.691025167016939,7.6920166015625,0.0032530819778191535
2023-09-30,movement_6,actuator_1,7.6923065185546875,7.689359585810367,7.68951416015625,0.0010410823572752953
2023-09-30,movement_7,actuator_1,0,359.7509000576037,359.9578857421875,8.622110154264266
2023-09-30,movement_1,actuator_2,347.787841796875,347.7682043682046,347.772216796875,0.09218691741842898
2023-09-30,movement_2,actuator_2,336.98724365234375,336.9071656328193,336.9026794433594,0.18799268647851788
2023-09-30,movement_3,actuator_2,347.787841796875,347.77503661406206,347.7749938964844,0.0006922513286115383
2023-09-30,movement_4,actuator_2,293.3585205078125,293.2505689700078,293.2506408691406,0.000513772666336101
2023-09-30,movement_5,actuator_2,288.1332702636719,287.997679011613,287.997802734375,0.0009061224550230924
2023-09-30,movement_6,actuator_2,293.3585205078125,293.28488486153736,293.2850036621094,0.0022697013761207785
2023-09-30,movement_7,actuator_2,344,343.9795128782773,343.9793395996094,0.0015645345653072795
2023-09-30,movement_1,actuator_3,91.1580810546875,91.36865548164614,91.38067626953124,0.38946284886396554
2023-09-30,movement_2,actuator_3,85.48641967773438,85.51901097451487,85.52423095703125,0.2119035007402357
2023-09-30,movement_3,actuator_3,91.1580810546875,91.32930015528807,91.3292236328125,0.002296740847606019
2023-09-30,movement_4,actuator_3,36.652435302734375,36.66706515017742,36.667152404785156,0.0016647777173467739
2023-09-30,movement_5,actuator_3,38.8013916015625,38.954725678615304,38.95466613769531,0.0028453207644971636
2023-09-30,movement_6,actuator_3,36.652435302734375,36.795987186343986,36.79595947265625,0.0015271534137686882
2023-09-30,movement_7,actuator_3,75,75.27478368381202,75.27488708496094,0.003607213404332034
2023-09-30,movement_1,actuator_4,345.40728759765625,345.2728437256703,345.26446533203125,0.35114633064890416
2023-09-30,movement_2,actuator_4,350.34735107421875,350.3087188615228,350.3043212890625,0.1634569485160814
2023-09-30,movement_3,actuator_4,345.40728759765625,345.2756861146145,345.27569580078125,0.001541820196010492
2023-09-30,movement_4,actuator_4,270.0581359863281,269.9748970594274,269.97442626953125,0.0038631410544646637
2023-09-30,movement_5,actuator_4,270.02423095703125,270.0786371187131,270.0787048339844,0.0026742284375598207
2023-09-30,movement_6,actuator_4,270.0581359863281,270.11325799265217,270.1123962402344,0.004071050363397409
2023-09-30,movement_7,actuator_4,0,0.22987627653482323,0.022674560546875,8.63481501670115
2023-09-30,movement_1,actuator_5,300.799072265625,300.7649937642884,300.76580810546875,0.03954931071713088
2023-09-30,movement_2,actuator_5,314.64813232421875,314.8301841806157,314.8392944335937,0.36953272823698813
2023-09-30,movement_3,actuator_5,300.799072265625,300.67320863222744,300.67193603515625,0.007224354348381242
2023-09-30,movement_4,actuator_5,283.05670166015625,282.95586133332847,282.9549865722656,0.003365680118541958
2023-09-30,movement_5,actuator_5,290.4320068359375,290.5446776288995,290.5396728515625,0.010054984615260526
2023-09-30,movement_6,actuator_5,283.05670166015625,282.9316912532402,282.9312744140625,0.001991603272850831
2023-09-30,movement_7,actuator_5,300,300.11613367669594,300.11627197265625,0.024227865656403735
2023-09-30,movement_1,actuator_6,352.2476806640625,352.0573250555223,352.2563781738281,8.27651314236906
2023-09-30,movement_2,actuator_6,350.21044921875,349.9411294295491,350.1402587890625,8.29973203340984
2023-09-30,movement_3,actuator_6,352.2476806640625,352.2958124046501,352.2960205078125,0.0022290917751935794
2023-09-30,movement_4,actuator_6,97.69122314453125,98.0334973313292,98.03411865234376,0.008011031533682399
2023-09-30,movement_5,actuator_6,97.71112060546875,97.71983140514743,97.7196044921875,0.002169639609303074
2023-09-30,movement_6,actuator_6,97.69122314453125,97.71733358708394,97.71728515625,0.0011254276358238292
2023-09-30,movement_7,actuator_6,0,359.44173041137134,359.6443786621094,8.453798046978601
